PAR ID,SUB,PRED,OBJ
3351909-4,alan_victor_oppenheim,place of birth,new_york_city
3351909-4,alan_victor_oppenheim,place of birth,new_york_city
3351909-4,alan_victor_oppenheim,place of birth,new_york_city
3351909-6,victor_oppenheim,place of birth,new_york_city
3351909-6,alan_victor_oppenheim,place of birth,new_york_city
3351909-6,alan_victor_oppenheim,place of birth,new_york_city
3351909-7,victor_oppenheim,place of birth,new_york_city
3351909-7,alan_victor_oppenheim,place of birth,new_york_city
3606894-5,dan_connolly,place of birth,boston
3638788-3,frank,place of birth,gooding
3687431-4,min,place of birth,zhushan
3693989-2,bruce_lawrence_horn,place of birth,mathematical
3725765-3,earl_fikes,place of birth,mobile
3725765-3,richard_earl_fikes,place of birth,san_antonio
3761477-3,dilip_d'souza,place of birth,electrical
3761477-4,dilip_d'souza,place of birth,united_states
3836942-3,jerre,place of birth,mccloud
4024656-4,carlo_penco,place of birth,analytic
4024656-5,carlo_penco,place of birth,philosophy
4056965-3,marc_s_seriff,place of birth,austin
